#{"t_start": 1563633476.40666, "env_id": "CarRacing-v1"}
r,l,t
4652.006667,1000,2839.075654
4374.504444,1000,2847.800447
2758.584444,85,2848.703995
3536.773333,84,2849.581692
-3319.326667,1000,2857.852005
59.273333,1000,2866.611926
-162.1,1000,2875.433249
4694.273333,1000,2884.238552
2679.193333,1000,2892.937527
4688.46,1000,2901.364113
3644.971111,1000,2910.026219
4652.571111,1000,2918.656323
3985.504444,1000,2927.486056
4564.973333,1000,2936.370402
4671.393333,1000,2945.043226
-2952.148889,1000,2953.372043
3489.726667,1000,2962.327054
-4320.873333,1000,2970.988387
3536.373333,79,2971.837829
4658.406667,1000,2980.015564
3565.517778,1000,2988.791223
4681.326667,1000,2997.448946
2934.273333,85,2998.404408
3537.14,85,2998.839233
3336.74,85,2999.71587
-1112.6,78,3000.592494
3085.46,1000,3008.756105
3447.217778,79,3009.593865
3361.226667,78,3010.438647
-1865.095556,1000,3018.774362
3536.373333,79,3019.61604
4248.606667,1000,3028.265457
3455.36,76,3029.096875
3384.804444,78,3029.494877
-5132.806667,1000,3038.156012
4651.206667,1000,3046.828263
4023.851111,1000,3055.571291
4640.073333,1000,3063.880139
3066.26,85,3064.747549
4679.126667,1000,3073.586147
3562.76,78,3073.993059
4667.26,1000,3082.800189
1052.073333,1000,3091.526031
3335.806667,85,3092.429614
2955.271111,76,3092.841479
3456.093333,79,3093.686257
4675.326667,1000,3102.444224
-3547.46,1000,3111.464073
3193.226667,77,3111.873979
4460.74,1000,3120.548638
3336.74,85,3121.449725
4692.526667,1000,3129.628493
762.806667,1000,3138.386225
2416.64,79,3139.234998
1863.473333,1000,3147.917653
4670.273333,1000,3156.521434
4649.14,1000,3164.880059
4295.984444,1000,3173.939867
3376.533333,79,3174.78761
4482.993333,1000,3183.548146
4591.36,1000,3191.888841
4676.673333,1000,3200.778826
4558.606667,1000,3209.476732
4685.393333,1000,3218.026808
3491.151111,78,3218.431686
4249.94,1000,3227.025677
3811.06,1000,3235.790804
3562.76,78,3236.642519
-14795.273333,1000,3244.829041
4334.94,1000,3253.40811
4.033333,1000,3262.189772
4150.984444,1000,3270.994216
-4843.806667,1000,3279.706045
3536.373333,79,3280.12498
3526.684444,76,3280.955705
4287.326667,1000,3290.077565
4446.14,1000,3298.930891
4597.117778,1000,3307.121078
3858.237778,1000,3315.713598
3473.137778,76,3316.531378
3963.406667,1000,3325.249068
4398.544444,1000,3333.440426
1389.633333,1000,3342.068362
3254.204444,80,3342.906266
3362.56,76,3343.303199
2060.54,1000,3352.03675
3536.373333,79,3352.878483
4648.493333,1000,3361.522374
4664.14,1000,3369.722322
4455.773333,1000,3378.477125
-5146.806667,1000,3386.995111
3219.573333,79,3387.831941
-191.033333,1000,3396.445666
3245.0,78,3396.852649
4662.54,1000,3405.484532
3334.773333,79,3406.350248
2731.417778,76,3406.754131
4645.273333,1000,3415.680329
2846.006667,1000,3424.408916
-2199.233333,1000,3433.077749
2067.673333,1000,3441.606954
4662.54,1000,3450.448317
4420.46,1000,3459.397706
3185.426667,987,3468.785583
640.837778,1000,3477.467936
4704.206667,1000,3485.633223
4609.477778,1000,3494.212035
4422.593333,1000,3503.075089
4490.873333,1000,3512.140517
4258.771111,1000,3521.035771
4465.74,1000,3530.008748
-202.966667,1000,3538.661656
3362.76,78,3539.486377
3537.14,85,3540.369045
3229.24,514,3544.875968
-5229.406667,1000,3553.224271
3134.573333,79,3554.054053
-6002.366667,1000,3563.026032
-4412.66,1000,3571.807685
4676.326667,1000,3580.42169
2796.137778,79,3581.282352
4589.14,1000,3590.078681
-2988.988889,1000,3599.143448
4649.006667,1000,3607.602911
2989.533333,79,3608.460552
4412.66,1000,3617.206161
3976.304444,1000,3626.026694
4297.7,1000,3634.712991
-599.166667,1000,3643.00283
3315.151111,79,3643.873617
-1643.895556,1000,3652.778746
3361.426667,78,3653.198554
3797.571111,1000,3661.986267
4672.006667,1000,3670.800794
4662.173333,1000,3679.767752
4648.606667,1000,3688.513519
3562.826667,78,3688.931394
4049.326667,1000,3697.805754
4680.993333,1000,3706.999188
1834.117778,1000,3715.907956
16.9,1000,3724.130018
3413.571111,1000,3732.805516
4670.66,1000,3741.733358
3537.14,85,3742.608019
3048.673333,1000,3751.380054
4246.273333,1000,3759.762698
3658.873333,1000,3768.801458
4482.606667,1000,3777.614932
4115.566667,1000,3786.330028
4191.226667,1000,3794.899692
4671.66,1000,3803.208439
2257.073333,1000,3812.019858
3926.717778,1000,3820.722647
4489.34,1000,3829.600054
4546.793333,1000,3838.284383
4682.326667,1000,3846.991666
4677.393333,1000,3855.111992
2298.526667,1000,3863.875313
4703.926667,1000,3872.580008
2213.944444,1000,3881.208979
4678.74,1000,3890.180947
4545.193333,1000,3898.38075
3571.771111,1000,3907.030822
4459.073333,1000,3915.611709
2732.84,79,3916.453462
3269.077778,1000,3924.777209
1448.94,1000,3933.402272
4243.451111,1000,3942.062122
-4007.993333,1000,3950.914491
4353.373333,1000,3959.477062
4676.726667,1000,3968.131671
3473.871111,79,3968.541539
4677.926667,1000,3977.170664
-1940.095556,1000,3985.926526
2322.673333,1000,3994.59681
4657.073333,1000,4002.788867
4652.206667,1000,4011.608132
4669.673333,1000,4020.171319
1706.526667,1000,4028.797724
4196.173333,1000,4037.528387
1762.1,1000,4045.848056
4281.793333,1000,4054.485463
4686.193333,1000,4063.271492
4695.926667,1000,4072.405616
3537.473333,89,4073.295198
4222.104444,1000,4081.875437
4490.966667,1000,4090.931633
4675.926667,1000,4100.003398
-8781.233333,1000,4108.862448
581.106667,1000,4117.929638
3319.237778,85,4118.397321
-4714.94,1000,4127.128916
1859.273333,1000,4135.94642
2656.606667,1000,4144.855661
3134.573333,79,4145.268579
3803.326667,1000,4154.162416
4477.993333,1000,4163.792417
-852.073333,1000,4173.019478
4676.26,1000,4181.942961
2935.14,85,4182.390758
4090.526667,1000,4191.44323
-3803.166667,1000,4200.562856
4241.384444,1000,4209.778673
3536.373333,79,4210.260423
3679.726667,1000,4219.378029
4673.593333,1000,4228.10097
4673.793333,1000,4236.8036
4482.326667,1000,4245.481467
4078.393333,1000,4253.827122
-1574.3,1000,4262.437882
4054.26,1000,4271.048954
4691.46,1000,4279.842505
4669.326667,1000,4288.47236
3308.751111,95,4288.962051
-8696.54,1000,4297.665421
-6724.406667,1000,4306.344796
-7987.766667,1000,4315.175156
4686.326667,1000,4323.813063
902.793333,1000,4332.082
3650.771111,1000,4340.850596
4174.117778,1000,4349.477489
4709.793333,1000,4358.242919
2083.14,1000,4366.931807
4492.393333,1000,4375.810904
2829.34,1000,4383.929534
2132.626667,1000,4392.579911
1650.16,664,4398.304374
2271.593333,770,4404.883862
3474.571111,83,4405.75054
3529.717778,93,4406.669056
3536.806667,83,4407.101898
3083.504444,85,4407.962637
